Central Europe,America/Eastern,America/Western,Asia/Pacific,Date (UTC),Time (UTC),Speaker,Affiliation,Title,Abstract,Type
x,,,,4/15/25,12:00,MLXN Organizers,,Welcome and Introduction,,Discussion
x,,,,4/15/25,12:15,Marina Ganeva,Jülich Centre for Neutron Science,AI-assisted data pipelines for neutron experiments,"The lack of neutron beam time as well as the complexity of neutron scattering data processing make the development of AI assisted approaches to optimize the use of beam time at different stages of the scientific workflow inevitable. At MLZ, we build AI assisted data pipelines for data acquisition and analysis that enable fast, robust and reliable data processing on-the-fly during the experiment as well as offline. This allows experiment steering during beam time and accelerates offline data analysis. In this talk I will give an overview of our activities on establishing AI-assisted data pipelines for different neutron scattering techniques, such as TAS, small-angle and surface scattering.",Invited
x,,,,4/15/25,12:30,,,,,
x,,,,4/15/25,12:45,Tim Snow,Diamond Light Source,Nuts and Bolts: Infrastructure Platforms for Different Latency Regimes,"Each application of an AI or ML algorithm may seem unique, however, to sustain these in the long run there has to be some commonality as to how they are deployed and maintained. This talk investigates Diamond's (and to a lesser extent other facilities) approaches to this challenge, illustrating how solutions have been developed and tool chained with respect to latency. From very low latency, i.e. nano- to micro-seconds, to accepted latency, i.e. a known number of milliseconds, through to latency is acceptable, i.e. seconds onwards. I hope for a robust discussion after the main presentation!",Invited
x,,,,4/15/25,13:00,,,,,
x,,,,4/15/25,13:15,Benedikt Sochor,DESY,Demo Presentation,,Demo
x,,,,4/15/25,13:30,,,,,
x,,,,4/15/25,13:45,,,,,
x,,,,4/15/25,14:00,,,,,
x,,,,4/15/25,14:15,Taner Yildirim,NIST Center for Neutron Research,Evaluating the Performance of Universal Machine Learning Potentials in Neutron Scattering Spectra Predictions,"Machine learning-based atomic potentials have become essential for predicting the structure and dynamics of various materials. These potentials, which promise ""ab initio accuracy with the efficiency of classical force fields,"" raise concerns about their true generalizability across a wide range of materials. Generalizability is crucial for extrapolating learned information to new systems, as it reduces the need for extensive training data for each material, thereby improving efficiency and applicability. To evaluate these claims, we rigorously tested several machine learning-based atomic potentials, calculating structural and lattice dynamic properties for a dozen diverse systems and comparing the results with our own neutron scattering data. In this talk, we will present our findings and offer suggestions for improvement, as none of the tested ML-based potentials provided satisfactory results.",Contributed
